
MG;NAR BEZPIECZNIK 5A;Bezpiecznik   5A p≥aski;1;szt.;0,24;0,3;23;0; ; ; ; ;Inter Team;Zaimportowano z uøyciem programu HofHard: 2017-7-28__14-51; ;
MG;NAG 308;Przek. zwierno-rozwierny 541;2;szt.;5,57;6,85;23;0; ; ; ; ;Inter Team;Zaimportowano z uøyciem programu HofHard: 2017-7-28__14-51; ;
MG;NAG 048;Obudowa bezpiecznika p≥askiego;1;szt.;2,88;3,54;23;0; ; ; ; ;Inter Team;Zaimportowano z uøyciem programu HofHard: 2017-7-28__14-51; ;
MG;NAG 009/1;Podstawa przekaünika 5-stykowa;2;szt.;8,41;10,34;23;0; ; ; ; ;Inter Team;Zaimportowano z uøyciem programu HofHard: 2017-7-28__14-51; ;
